alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes,ganancia_normalizada,tiempo_normalizado,distancia_ideal_positiva,distancia_ideal_negativa,puntaje_topsis,ranking_topsis,puntaje_suma_ponderada,ranking_suma_ponderada
147,1,44,11,3890.0,72.3,MOPSO,1,0.5835140997830802,0.4277251184834123,0.35389230180039327,0.361744896863559,0.505486435778363,138,0.5056196091332463,145
148,0,49,8,3905.0,72.39999999999999,MOPSO,1,0.586767895878525,0.4265402843601896,0.35341788909814464,0.3627096558598154,0.5064875082840189,110,0.5066540901193572,123
149,1,46,10,3930.0,73.0,MOPSO,1,0.5921908893709328,0.419431279620853,0.35474226904710376,0.3628404083678948,0.5056426524598896,133,0.505811084495893,140
150,1,49,8,3945.0,73.19999999999999,MOPSO,1,0.5954446854663774,0.41706161137440767,0.35478238662974815,0.36348822578330187,0.5060602779802547,121,0.5062531484203925,130
151,0,47,10,3955.0,73.39999999999999,MOPSO,1,0.5976138828633406,0.41469194312796215,0.3551408554023453,0.3637003439255466,0.5059536713603731,127,0.5061529129956513,133
152,0,50,8,3970.0,73.6,MOPSO,1,0.6008676789587852,0.41232227488151657,0.355201252214918,0.3643664453475329,0.5063685412523724,112,0.5065949769201509,125
153,0,46,11,3980.0,73.89999999999999,MOPSO,1,0.6030368763557483,0.40876777251184837,0.3560671524986554,0.3642610897725683,0.5056876412668937,132,0.5059023244337983,137
154,2,45,11,3995.0,74.3,MOPSO,1,0.6062906724511931,0.4040284360189573,0.3571376274186689,0.3642894990983286,0.5049567526751999,144,0.5051595542350752,154
155,1,50,8,4010.0,74.39999999999999,Ambos,1,0.6095444685466378,0.40284360189573465,0.3567391504444765,0.36531747382384144,0.5059402012875692,128,0.5061940352211862,132
156,0,44,13,4030.0,74.89999999999999,MOPSO,1,0.613882863340564,0.39691943127962087,0.3580476977967382,0.36551238174326844,0.5051583027841071,142,0.5054011473100924,149
157,0,47,11,4045.0,75.1,MOPSO,1,0.6171366594360087,0.39454976303317535,0.35817395459155144,0.3662400756093505,0.505567341796618,134,0.5058432112345921,139
158,2,50,8,4050.0,75.19999999999999,MOPSO,1,0.6182212581344902,0.39336492890995267,0.358385657224462,0.3663787286762579,0.5055142551195112,136,0.5057930935222215,142
