alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes,ganancia_normalizada,tiempo_normalizado,distancia_ideal_positiva,distancia_ideal_negativa,puntaje_topsis,ranking_topsis,puntaje_suma_ponderada,ranking_suma_ponderada
89,0,41,4,3025.0,55.99999999999999,MOPSO,1,0.3958785249457701,0.6208530805687205,0.3566213479083689,0.3681638066692966,0.5079626760337258,36,0.5083658027572453,80
90,0,37,7,3035.0,56.3,MOPSO,1,0.39804772234273317,0.6172985781990521,0.35665351632405023,0.3672531565244909,0.5073211372383936,74,0.5076731502708927,93
91,0,47,0,3055.0,56.4,MOPSO,1,0.40238611713665945,0.6161137440758294,0.3551446925122479,0.3679370642186834,0.5088457298129414,2,0.5092499306062445,39
92,0,36,8,3060.0,56.8,MOPSO,2,0.403470715835141,0.6113744075829384,0.3559764872669792,0.3662537661184899,0.5071149600853201,83,0.5074225617090397,100
93,0,46,1,3080.0,56.9,MOPSO,1,0.4078091106290672,0.6101895734597156,0.3544863248749713,0.3669603474052137,0.5086451452397722,6,0.5089993420443915,52
94,1,47,0,3095.0,57.199999999999996,Ambos,1,0.41106290672451196,0.6066350710900474,0.3541125764259556,0.3663941944003861,0.5085229025393667,8,0.5088489889072797,58
95,0,38,7,3100.0,57.5,MOPSO,1,0.4121475054229935,0.6030805687203791,0.3546532074815295,0.3652299750138577,0.5073461693428164,70,0.5076140370716863,94
96,0,48,0,3120.0,57.599999999999994,MOPSO,1,0.4164859002169197,0.6018957345971564,0.3531910640070033,0.36597096210141744,0.5088852703767967,1,0.5091908174070381,42
97,0,44,3,3130.0,57.9,MOPSO,1,0.41865509761388287,0.5983412322274881,0.3533028662701651,0.3651315930392763,0.508232293575857,20,0.5084981649206854,74
98,1,48,0,3160.0,58.4,MOPSO,1,0.42516268980477223,0.5924170616113744,0.3523357010217637,0.3645961079366742,0.5085506088310584,7,0.5087898757080733,62
99,0,39,7,3165.0,58.699999999999996,Ambos,1,0.4262472885032538,0.5888625592417062,0.3529256894670421,0.36347141037262753,0.5073602481828381,68,0.5075549238724799,95
100,3,47,0,3175.0,58.8,NSGA-II,1,0.4284164859002169,0.5876777251184834,0.35239089515555233,0.36362954843890455,0.5078479974858805,43,0.5080471055093502,87
101,0,42,5,3180.0,58.9,MOPSO,1,0.42950108459869846,0.5864928909952606,0.3522985742490022,0.3634711449549458,0.5078045846346739,45,0.5079969877969795,88
102,0,45,3,3195.0,59.1,MOPSO,1,0.43275488069414314,0.5841232227488151,0.3516818587989532,0.3634820236679745,0.5082499725987983,19,0.5084390517214792,77
103,1,46,2,3210.0,59.4,MOPSO,1,0.4360086767895879,0.5805687203791469,0.351428801815182,0.3630301658672759,0.5081189855372029,28,0.5082886985843673,81
104,0,47,2,3235.0,59.8,MOPSO,1,0.44143167028199565,0.5758293838862559,0.35068479099409006,0.36278140762543826,0.5084773578998815,9,0.5086305270841258,69
105,0,46,3,3260.0,60.3,MOPSO,1,0.44685466377440347,0.5699052132701422,0.35033958117815134,0.36210186503573183,0.5082549126802435,18,0.5083799385222728,79
106,0,42,6,3270.0,60.6,MOPSO,1,0.4490238611713666,0.5663507109004738,0.35058038004679964,0.3613777648246758,0.5075828788915746,54,0.5076872860359203,92
107,0,48,2,3300.0,60.99999999999999,MOPSO,1,0.455531453362256,0.561611374407583,0.3495105811440569,0.36156473862446253,0.5084760060884357,11,0.5085714138849196,71
108,2,50,0,3330.0,61.599999999999994,MOPSO,1,0.46203904555314534,0.5545023696682465,0.3492385027243483,0.3608853549201471,0.5082005780184708,24,0.5082707076106959,82
109,0,50,1,3340.0,61.7,MOPSO,1,0.4642082429501085,0.5533175355450236,0.3487828948551596,0.36112656644327806,0.5086938351015383,5,0.5087628892475661,63
110,0,46,4,3350.0,61.99999999999999,MOPSO,1,0.46637744034707157,0.5497630331753555,0.34909395671724225,0.3604675122361422,0.5080144962878693,33,0.5080702367612135,86
111,0,42,7,3360.0,62.3,MOPSO,1,0.4685466377440347,0.5462085308056872,0.34941714817918684,0.3598192986994121,0.5073333445883887,73,0.5073775842748609,102
112,3,50,0,3370.0,62.4,MOPSO,1,0.47071583514099785,0.5450236966824644,0.3489789262086543,0.3600778483182165,0.5078265397830466,44,0.5078697659117312,91
113,2,41,7,3375.0,62.699999999999996,MOPSO,1,0.4718004338394794,0.5414691943127962,0.3497303537928608,0.35909070503177526,0.5066027604014915,107,0.5066348140761378,124
114,0,41,8,3385.0,62.8,MOPSO,1,0.47396963123644253,0.5402843601895735,0.3493015954543559,0.3593585956951169,0.507095784668978,85,0.507126995713008,109
115,1,42,7,3400.0,63.099999999999994,MOPSO,1,0.4772234273318872,0.5367298578199052,0.3492544092657185,0.3591034460534209,0.5069520205872858,94,0.5069766425758963,115
116,2,50,1,3420.0,63.3,NSGA-II,1,0.48156182212581344,0.5343601895734597,0.3484245174107195,0.3596674160700818,0.5079388693238455,38,0.5079610058496365,89
117,0,50,2,3430.0,63.4,MOPSO,1,0.4837310195227766,0.533175355450237,0.348015412360575,0.3599554343623775,0.5084325661544211,13,0.5084531874865068,76
118,1,37,11,3435.0,63.9,MOPSO,1,0.4848156182212581,0.5272511848341231,0.349609206639887,0.3581340515715615,0.506022554670606,123,0.5060334015276906,135
119,5,50,0,3450.0,64.0,NSGA-II,1,0.4880694143167028,0.5260663507109005,0.3488144307818008,0.3588027168729821,0.5070576908171819,86,0.5070678825138016,112
120,0,45,6,3465.0,64.2,MOPSO,1,0.4913232104121475,0.5236966824644549,0.3484311002769309,0.35904620604943577,0.5075020821703877,61,0.5075099464383012,97
